Breed,Type_of_disorder,Disease,Predisposition_to_disease,Size,Group_UK,Group_AKC,Alternative_breed_names
afghan hound,inherited eye disorders,cataract,have an increased incidence,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited eye disorders,corneal dystrophy,have an increased incidence,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited skin disorders,demodicosis,have an increased incidence,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited eye disorders,glaucoma,may be inherited,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited musculoskeletal disorders,hip dysplasia,have an increased incidence,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited endocrine disorders,hypothyroidism,have an increased incidence,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited eye disorders,progressive retinal atrophy (rod-cone dysplasia),may be inherited,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited eye disorders,retinal dysplasia,may be inherited,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,none,anesthetic idiosyncracy,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited musculoskeletal disorders,elbow dysplasia,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,none,eversion of nictitating membrane,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited musculoskeletal disorders,hemivertebra,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited blood disorders,hemophilia a,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,none,narcolepsy,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,none,necrotizing myelopathy,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,none,osteochondritis dissecans,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,none,osteochondrosis,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited skin disorders,pemphigus foliaceous,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited eye disorders,persistent pupillary membrane,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,none,retinal detachment,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
afghan hound,inherited blood disorders,von willebrand's disease,none,large,hound,hound,"afghan hound, tazi, tazhi spay, kochyano spay, sage, balochi, ogar afgan, barakzai hound, eastern, greyhound/persian, greyhound, afghan hound, greyhound"
airedale terrier,none,cerebellar cortical abiotrophy,have an increased incidence,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
airedale terrier,inherited eye disorders,corneal dystrophy,have an increased incidence,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
airedale terrier,inherited musculoskeletal disorders,hip dysplasia,most important,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
airedale terrier,inherited endocrine disorders,hypothyroidism,have an increased incidence,large,terrier,terrier,"airedale terrier, waterside terrier, bingley terrier, airedale, king of terriers, airedale terrier"
