url,product title,product description,breed_size,life_stage,food_form,category,ingredients,combination,combination_clean,nutrition and caloric content,moisture,protein,fat,carbohydrate (nfe),crude fibre,crude ash,soluble fibre,calcium,phospohorus,potassium,sodium,magnesium,taurine,vitamin a,vitamin c,vitamin d,vitamin e,thiamine (vitamin b1),riboflavin (vitamin b2),niacin (vitamin b3),pyridoxine (vitamin b6),pantothenic acid (vitamin b5),folic acid (vitamin b9),vitamin b12 (cobalamin),biotin (vitamin b7),dha,epa,epa + dha,omega-3-fatty acids,omega-6-fatty acids,beta-carotene,l-carnitine,glucosamine,chondroitin sulfate,total dietary fibre,iron,copper,zinc,l-arginine,glutamine + glutamate,linoleic acid,essential fatty acids,chloride,sulphur,hydroxyproline,l-lysine,dl-methionine + l-cystine,insoluble fibre,starch,bcaa total,sizes,total dietary fiber,vitamin k,alpha-linolenic acid (ala),key benefits,helpful tips,recommended for,need/preference,alternate product recommendation,flavour
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-kd-with-chicken-canned,k/d kidney care wet dog food original can,k/d kidney care wet dog food original can,-,-,wet food,['Kidney care'],"['carrot', 'pork_liver', 'sunflower_oil', 'sugar']","k/d kidney care wet dog food original can k/d kidney care wet dog food original can when dogs have damage to kidney tissues, the kidneys cannot perform as well as before, like filtering and reabsorbing nutrients. the condition is not reversible, but progression may be slowed. therapeutic foods for kidney conditions are designed to help reduce workload on the kidneys, enabling them to function more effectively. dogs with decreased kidney function may experience loss of appetite and their food intake might decline. hill's nutritionists and veterinarians developed hill's prescription diet k/d clinical nutrition with activbiome+ kidney defense, a proprietary blend of prebiotics shown to nourish the gut microbiome to help support kidney function. this food has an irresistible taste that your dog will love. in fact, prescription diet k/d is clinically proven nutrition to improve & lengthen quality of life.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      feed only this food. it is recommended that advice from a veterinarian be sought before use / extending the period of use. recommended time of use: initially up to 6 months (2 to 4 weeks in cases of temporary renal insufficiency). fresh water should be available at all times.  kidney care liver care original  ",kd kidney care wet dog food original can kd kidney care wet dog food original can when dog have damage to kidney tissue the kidney can not perform as well as before like filter and reabsorb nutrient the condition be not reversible but progression may be slow therapeutic food for kidney condition be design to help reduce workload on the kidney enable they to function more effectively dog with decrease kidney function may experience loss of appetite and their food intake might decline hill nutritionist and veterinarian develop hill prescription diet kd clinical nutrition with activbiome kidney defense a proprietary blend of prebiotic show to nourish the gut microbiome to help support kidney function this food have an irresistible taste that your dog will love in fact prescription diet kd be clinically prove nutrition to improve   lengthen quality of life                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       feed only this food it be recommend that advice from a veterinarian be seek before use   extend the period of use recommend time of use initially up to   month   to   week in case of temporary renal insufficiency fresh water should be available at all time   kidney care liver care original  ,"338.2 kcal (370 g) can, 182.8 kcal (200 g) can                                                                                                                          ",73.0,4.2,6.8,13.8,0.5,1.4,0.4 %,0.2,0.07,0.2,0.05,0.034,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.051,0.07,0.121,0.29,1.54,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"when dogs have damage to kidney tissues, the kidneys cannot perform as well as before, like filtering and reabsorbing nutrients. the condition is not reversible, but progression may be slowed. therapeutic foods for kidney conditions are designed to help reduce workload on the kidneys, enabling them to function more effectively. dogs with decreased kidney function may experience loss of appetite and their food intake might decline. hill's nutritionists and veterinarians developed hill's prescription diet k/d clinical nutrition with activbiome+ kidney defense, a proprietary blend of prebiotics shown to nourish the gut microbiome to help support kidney function. this food has an irresistible taste that your dog will love. in fact, prescription diet k/d is clinically proven nutrition to improve & lengthen quality of life.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",feed only this food. it is recommended that advice from a veterinarian be sought before use / extending the period of use. recommended time of use: initially up to 6 months (2 to 4 weeks in cases of temporary renal insufficiency). fresh water should be available at all times.,,kidney care,liver care,original
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-ld-canned,l/d wet dog food original,l/d wet dog food original,-,-,wet food,['Liver care'],"['sunflower_oil', 'flaxseed', 'chicken_broth', 'egg', 'corn', 'soybean']","l/d wet dog food original l/d wet dog food original the liver is your dog's largest internal organ with many functions, including metabolising and conversion of nutrients, the removal of toxic substances from the blood and the storage of vitamins and minerals. the liver has an amazing ability to repair and regenerate itself, and nutrition plays a vital role in this process. hill's nutritionists and veterinarians developed prescription diet l/d , clinical nutrition to support liver health and help protect vital liver function                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ask your veterinarian for specific feeding instructions for your pet. this is only a guide. grams are the most accurate form of measurement. for best results: – gradually transition to this new food for 7 days or more. – exclusively feed the recommended prescription diet dry and wet foods. – keep fresh water available at all times. – have your veterinarian monitor your pet's condition. – to prevent suffocation, keep the packaging out of the reach of pets & children.                                                                                                                                                                                                                                                                                                                                                  liver care  original small breed, medium breed, large breed adult",ld wet dog food original ld wet dog food original the liver be your dog large internal organ with many function include metabolising and conversion of nutrient the removal of toxic substance from the blood and the storage of vitamin and mineral the liver have an amazing ability to repair and regenerate itself and nutrition play a vital role in this process hill nutritionist and veterinarian develop prescription diet ld   clinical nutrition to support liver health and help protect vital liver function                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ask your veterinarian for specific feeding instruction for your pet this be only a guide gram be the most accurate form of measurement for good result   gradually transition to this new food for   day or more   exclusively feed the recommend prescription diet dry and wet food   keep fresh water available at all time   have your veterinarian monitor your pet condition   to prevent suffocation keep the packaging out of the reach of pet   child                                                                                                                                                                                                                                                                                                                                                   liver care   original small breed medium breed large breed adult,338.2 kcal (370 g) can,74.0,4.9,6.1,12.9,0.7,1.3,,0.18,0.14,0.23,0.05,0.033,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.0,0.0,0.31,1.54,0,0,0,0,1.6,0,0,0,0.31,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"the liver is your dog's largest internal organ with many functions, including metabolising and conversion of nutrients, the removal of toxic substances from the blood and the storage of vitamins and minerals. the liver has an amazing ability to repair and regenerate itself, and nutrition plays a vital role in this process. hill's nutritionists and veterinarians developed prescription diet l/d , clinical nutrition to support liver health and help protect vital liver function                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","ask your veterinarian for specific feeding instructions for your pet. this is only a guide. grams are the most accurate form of measurement. for best results: – gradually transition to this new food for 7 days or more. – exclusively feed the recommended prescription diet dry and wet foods. – keep fresh water available at all times. – have your veterinarian monitor your pet's condition. – to prevent suffocation, keep the packaging out of the reach of pets & children.                                                                                                                                                                                                                                                                                                                                                ",,liver care,,original
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-adult-advanced-fitness-large-breed-lamb-and-rice-dry,adult large breed dry dog food with lamb & rice,adult large breed dry dog food with lamb & rice,large,adult,dry food,"['Musculoskeletal and joint care', 'Skin health', 'Digestive care']","['sunflower_oil', 'flaxseed', 'crustacean_shell_hydrolysate', 'rice', 'corn', 'chicken_fat', 'lamb', 'soybean']","adult large breed dry dog food with lamb & rice adult large breed dry dog food with lamb & rice hill's science plan large breed adult dog food with lamb & rice is specially formulated to fuel the energy needs of large breed dogs during the prime of their life. key benefits: supports joint health with glucosamine & chondroitin omega-6s & vitamin e for beautiful skin & coat high quality lamb and rice for gentle, healthy digestion                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    adjust feeding amounts as necessary to maintain optimal weight. if you are unsure, ask your veterinarian. new to this food? mix increasing amounts of your pet's new food with decreasing amounts of the old food over a 7-day period. keep fresh water available at all times! your pets nutritional needs may change as they age. ask your vet at every checkup. to prevent suffocation, keep the packaging out of the reach of pets and children.                                                                                                                                                                                                                                                                                                                                                                                   large breed adult dogs 1 - 5 years of age.   with lamb & rice large breed adult",adult large breed dry dog food with lamb   rice adult large breed dry dog food with lamb   rice hill science plan large breed adult dog food with lamb   rice be specially formulate to fuel the energy need of large breed dog during the prime of their life key benefit support joint health with glucosamine   chondroitin omegas   vitamin e for beautiful skin   coat high quality lamb and rice for gentle healthy digestion                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     adjust feed amount as necessary to maintain optimal weight if you be unsure ask your veterinarian new to this food mix increase amount of your pet new food with decrease amount of the old food over a day period keep fresh water available at all time your pet nutritional need may change as they age ask your vet at every checkup to prevent suffocation keep the packaging out of the reach of pet and child                                                                                                                                                                                                                                                                                                                                                                                    large breed adult dog     year of age    with lamb   rice large breed adult,3701 kcal/kg (370 kcal/100g),8.0,21.3,14.2,49.9,1.7,4.9,,0.81,0.66,0.63,0.24,0.109,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.0,0.0,0.52,3.53,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"hill's science plan large breed adult dog food with lamb & rice is specially formulated to fuel the energy needs of large breed dogs during the prime of their life. key benefits: supports joint health with glucosamine & chondroitin omega-6s & vitamin e for beautiful skin & coat high quality lamb and rice for gentle, healthy digestion                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ","adjust feeding amounts as necessary to maintain optimal weight. if you are unsure, ask your veterinarian. new to this food? mix increasing amounts of your pet's new food with decreasing amounts of the old food over a 7-day period. keep fresh water available at all times! your pets nutritional needs may change as they age. ask your vet at every checkup. to prevent suffocation, keep the packaging out of the reach of pets and children.                                                                                                                                                                                                                                                                                                                                                                                  ",large breed adult dogs 1 - 5 years of age.,,,with lamb & rice
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-mature-adult-7-plus-active-longevity-medium-with-chicken-dry,medium mature adult 7+ dog food with chicken dry bag,medium mature adult 7+ dog food with chicken dry bag,medium,senior,dry food,['Aging care'],"['turkey_meal', 'sunflower_oil', 'flaxseed', 'crustacean_shell_hydrolysate', 'chicken_meal', 'beet', 'wheat', 'corn', 'chicken_fat']","medium mature adult 7+ dog food with chicken dry bag medium mature adult 7+ dog food with chicken dry bag hill's science plan mature adult medium dog food with chicken is formulated for specific aging needs. provides easy-to-digest nutrition with a synergistic blend of ingredients to help support energy & activity level.. key benefits omega-6s & vitamin e for beautiful skin & coat. balanced minerals for heart & kidney health. high-quality protein for lean muscles. adjust feeding amounts as necessary to maintain optimal weight. if you are unsure, ask your veterinarian. new to this food? mix increasing amounts of your pet's new food with decreasing amounts of the old food over a 7-day period. keep fresh water available at all times! your pets nutritional needs may change as they age. ask your vet at every checkup. to prevent suffocation, keep the packaging out of the reach of pets and children.                                                                                                                                                                                                                                                                                                                                                                                   mature adult dogs 7+ years of age.   with chicken medium breed senior",medium mature adult   dog food with chicken dry bag medium mature adult   dog food with chicken dry bag hill science plan mature adult medium dog food with chicken be formulate for specific age need provide easytodigest nutrition with a synergistic blend of ingredient to help support energy   activity level key benefit omegas   vitamin e for beautiful skin   coat balanced mineral for heart   kidney health highquality protein for lean muscle adjust feed amount as necessary to maintain optimal weight if you be unsure ask your veterinarian new to this food mix increase amount of your pet new food with decrease amount of the old food over a day period keep fresh water available at all time your pet nutritional need may change as they age ask your vet at every checkup to prevent suffocation keep the packaging out of the reach of pet and child                                                                                                                                                                                                                                                                                                                                                                                    mature adult dog   year of age    with chicken medium breed senior,3682 kcal/kg (368 kcal/100g),9.0,17.1,14.0,53.9,1.9,4.6,,0.7,0.52,0.72,0.23,0.101,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.96,2.91,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,hill's science plan mature adult medium dog food with chicken is formulated for specific aging needs. provides easy-to-digest nutrition with a synergistic blend of ingredients to help support energy & activity level.. key benefits omega-6s & vitamin e for beautiful skin & coat. balanced minerals for heart & kidney health. high-quality protein for lean muscles.,"adjust feeding amounts as necessary to maintain optimal weight. if you are unsure, ask your veterinarian. new to this food? mix increasing amounts of your pet's new food with decreasing amounts of the old food over a 7-day period. keep fresh water available at all times! your pets nutritional needs may change as they age. ask your vet at every checkup. to prevent suffocation, keep the packaging out of the reach of pets and children.                                                                                                                                                                                                                                                                                                                                                                                  ",mature adult dogs 7+ years of age.,,,with chicken
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-td-mini-dry,t/d mini dog food,t/d mini dog food,small,-,dry food,['Dental care'],"['carrot', 'sunflower_oil', 'rice', 'egg', 'chicken']","t/d mini dog food t/d mini dog food hill's prescription diet t/d small bites dry dog food is clinically shown to reduce plaque, stain & tartar buildup and clean up to the gum line in small dogs. it works like a toothbrush, dental floss and mouthwash all in one and is formulated as a complete and balanced nutritional solution for your dog's daily health regimen. the kibble contains clinically proven triple action fiber matrix technology to remove plaque & tartar buildup. the special matrix of fibers scrub the tooth to remove plaque which helps freshen breath and whiten teeth. the large kibble size, shape and texture cleans the teeth to the gum line to promote healthy gums and teeth. hill's nutritionists & veterinarians developed prescription diet t/d small bites clinical nutrition to promote healthy gums and teeth and support your dog's overall health. the kibble size is designed to meet the needs of your smaller dog. hill's prescription diet t/d small bites dry dog food is accepted as the only therapeutic nutrition for proven reduction in buildup of both plaque & tartar in small breed dogs by veterinary oral health council (vohc)*.                                                                                                                                                                                                                          feed only this food. it is recommended that a veterinarian’s opinion be sought before use / extending the period of use. feed the correct daily amount shown according to dog's size. adjust the amount to maintain optimum weight or as advised by your veterinary surgeon. the amount may be divided into 2+ meals/day. fresh water should be available at all times.  dental care digestive care with chicken small breed, medium breed, large breed adult, senior       ",td mini dog food td mini dog food hill prescription diet td small bite dry dog food be clinically show to reduce plaque stain   tartar buildup and clean up to the gum line in small dog it work like a toothbrush dental floss and mouthwash all in one and be formulate as a complete and balanced nutritional solution for your dog daily health regiman the kibble contain clinically prove triple action fiber matrix technology to remove plaque   tartar buildup the special matrix of fiber scrub the tooth to remove plaque which helps freshen breath and whiten tooth the large kibble size shape and texture clean the tooth to the gum line to promote healthy gum and tooth hill nutritionist   veterinarian develop prescription diet td small bite clinical nutrition to promote healthy gum and tooth and support your dog overall health the kibble size be design to meet the need of your small dog hill prescription diet td small bite dry dog food be accept as the only therapeutic nutrition for prove reduction in buildup of both plaque   tartar in small breed dog by veterinary oral health council vohc                                                                                                                                                                                                                           feed only this food it be recommend that a veterinarians opinion be seek before use   extend the period of use feed the correct daily amount show accord to dog size adjust the amount to maintain optimum weight or as advise by your veterinary surgeon the amount may be divide into   mealsday fresh water should be available at all time   dental care digestive care with chicken small breed medium breed large breed adult senior       ,3533 kcal/kg (353 kcal/100g),8.0,16.1,15.2,47.1,9.6,3.6,,0.53,0.41,0.6,0.19,0.072,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.0,0.0,0.25,3.0,0,0,0,0,16.7,0,0,0,1.03,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"hill's prescription diet t/d small bites dry dog food is clinically shown to reduce plaque, stain & tartar buildup and clean up to the gum line in small dogs. it works like a toothbrush, dental floss and mouthwash all in one and is formulated as a complete and balanced nutritional solution for your dog's daily health regimen. the kibble contains clinically proven triple action fiber matrix technology to remove plaque & tartar buildup. the special matrix of fibers scrub the tooth to remove plaque which helps freshen breath and whiten teeth. the large kibble size, shape and texture cleans the teeth to the gum line to promote healthy gums and teeth. hill's nutritionists & veterinarians developed prescription diet t/d small bites clinical nutrition to promote healthy gums and teeth and support your dog's overall health. the kibble size is designed to meet the needs of your smaller dog. hill's prescription diet t/d small bites dry dog food is accepted as the only therapeutic nutrition for proven reduction in buildup of both plaque & tartar in small breed dogs by veterinary oral health council (vohc)*.                                                                                                                                                                                                                         ",feed only this food. it is recommended that a veterinarian’s opinion be sought before use / extending the period of use. feed the correct daily amount shown according to dog's size. adjust the amount to maintain optimum weight or as advised by your veterinary surgeon. the amount may be divided into 2+ meals/day. fresh water should be available at all times.,,dental care,digestive care,with chicken
https://www.hillspet.co.uk/dog-food/sp-canine-science-plan-puppy-healthy-development-medium-chicken-dry,medium puppy food,medium puppy food,medium,puppy,dry food,['Puppy care'],"['barley', 'turkey_meal', 'brown_rice', 'flaxseed', 'sunflower_oil', 'beet', 'fish_oil', 'rice', 'chicken', 'corn', 'oat', 'chicken_meal']","medium puppy food medium puppy food hill's science plan medium puppy dog food with chicken is carefully formulated for the developmental needs of puppies, so they get the best start in life & grow to their full potential.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          adjust feeding amounts as necessary to maintain optimal weight. if you are unsure, ask your veterinarian. new to this food? mix increasing amounts of your pet's new food with decreasing amounts of the old food over a 7-day period. keep fresh water available at all times! your pets nutritional needs may change as they age. ask your vet at every checkup. to prevent suffocation, keep the packaging out of the reach of pets and children.                                                                                                                                                                                                                                                                                                                                                                                   puppies up to 1 year old and pregnant or nursing dogs.   with chicken medium breed puppy/pregnant/nursing",medium puppy food medium puppy food hill science plan medium puppy dog food with chicken be carefully formulate for the developmental need of puppy so they get the good start in life   grow to their full potential                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           adjust feed amount as necessary to maintain optimal weight if you be unsure ask your veterinarian new to this food mix increase amount of your pet new food with decrease amount of the old food over a day period keep fresh water available at all time your pet nutritional need may change as they age ask your vet at every checkup to prevent suffocation keep the packaging out of the reach of pet and child                                                                                                                                                                                                                                                                                                                                                                                    puppie up to   year old and pregnant or nursing dog    with chicken medium breed puppypregnantnursing,3749 kcal/kg (375 kcal/100g),8.0,27.3,17.8,37.2,1.7,7.5,,1.35,1.06,0.84,0.47,0.092,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,0.0,0.0,0.55,3.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"hill's science plan medium puppy dog food with chicken is carefully formulated for the developmental needs of puppies, so they get the best start in life & grow to their full potential.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ","adjust feeding amounts as necessary to maintain optimal weight. if you are unsure, ask your veterinarian. new to this food? mix increasing amounts of your pet's new food with decreasing amounts of the old food over a 7-day period. keep fresh water available at all times! your pets nutritional needs may change as they age. ask your vet at every checkup. to prevent suffocation, keep the packaging out of the reach of pets and children.                                                                                                                                                                                                                                                                                                                                                                                  ",puppies up to 1 year old and pregnant or nursing dogs.,,,with chicken
https://www.hillspet.co.uk/dog-food/pd-canine-prescription-diet-dd-duck-and-rice-dry,d/d food sensitivities dry dog food with duck & rice bag,d/d food sensitivities dry dog food with duck & rice bag,-,-,dry food,"['Food Sensitivity', 'Skin health']","['rice', 'duck', 'sunflower_oil', 'carrot']","d/d food sensitivities dry dog food with duck & rice bag d/d food sensitivities dry dog food with duck & rice bag there can be a variety of reasons for a dog's itchy skin condition, including sensitivities to food. the good news is, most pets with these skin conditions can benefit simply by eating the right food. hill's nutritionists & veterinarians developed prescription diet d/d dietetic pet food specially formulated to support dogs with food sensitivities. in fact, d/d is clinically proven nutrition to help avoid adverse food reactions.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ask your veterinarian for specific feeding instructions for your pet. this is only a guide. grams are the most accurate form of measurement. in case you are using hill's measuring cup please refer to here . for best results: – gradually transition to this new food for 7 days or more. – exclusively feed the recommended prescription diet dry and wet foods. – keep fresh water available at all times. – have your veterinarian monitor your pet's condition. – to prevent suffocation, keep the packaging out of the reach of pets & children.                                                                                                                                                                                                                                                                                skin care digestive care, food sensitivities                                           with duck & rice small breed, medium breed, large breed adult, senior       ",dd food sensitivity dry dog food with duck   rice bag dd food sensitivity dry dog food with duck   rice bag there can be a variety of reason for a dog itchy skin condition include sensitivity to food the good news be most pet with these skin condition can benefit simply by eat the right food hill nutritionist   veterinarian develop prescription diet dd dietetic pet food specially formulate to support dog with food sensitivity in fact dd be clinically prove nutrition to help avoid adverse food reaction                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ask your veterinarian for specific feeding instruction for your pet this be only a guide gram be the most accurate form of measurement in case you be use hill measure cup please refer to here   for good result   gradually transition to this new food for   day or more   exclusively feed the recommend prescription diet dry and wet food   keep fresh water available at all time   have your veterinarian monitor your pet condition   to prevent suffocation keep the packaging out of the reach of pet   child                                                                                                                                                                                                                                                                                 skin care digestive care food sensitivity                                            with duck   rice small breed medium breed large breed adult senior       ,3713 kcal/kg (371 kcal/100g),8.0,15.1,14.3,56.3,1.2,5.1,,0.88,0.61,0.66,0.33,0.104,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.195,0.0,0.68,3.08,0,0,0,0,1.9,0,0,0,0.0,0.0,2.93,3.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"there can be a variety of reasons for a dog's itchy skin condition, including sensitivities to food. the good news is, most pets with these skin conditions can benefit simply by eating the right food. hill's nutritionists & veterinarians developed prescription diet d/d dietetic pet food specially formulated to support dogs with food sensitivities. in fact, d/d is clinically proven nutrition to help avoid adverse food reactions.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ","ask your veterinarian for specific feeding instructions for your pet. this is only a guide. grams are the most accurate form of measurement. in case you are using hill's measuring cup please refer to here . for best results: – gradually transition to this new food for 7 days or more. – exclusively feed the recommended prescription diet dry and wet foods. – keep fresh water available at all times. – have your veterinarian monitor your pet's condition. – to prevent suffocation, keep the packaging out of the reach of pets & children.                                                                                                                                                                                                                                                                              ",,skin care,"digestive care, food sensitivities                                          ",with duck & rice
