Ingredient_pet_food,Category,Ingredient_USDA
apple,APPLES,"APPLES,RAW,WITH SKIN"
barley,BARLEY,"BARLEY,PEARLED,RAW"
beef,BEEF,"BEEF,BRISKET,WHL,LN,ALL GRDS,RAW"
beef_liver,BEEF,"BEEF,VAR MEATS&BY-PRODUCTS,LIVER,RAW"
beet,BEETS,"BEETS,RAW"
broccoli,BROCCOLI,"BROCCOLI,RAW"
brown_rice,RICE,"RICE,BROWN,MEDIUM-GRAIN,RAW"
carrot,CARROTS,"CARROTS,RAW"
chicken,CHICKEN,"CHICKEN,BROILERS OR FRYERS,MEAT ONLY,RAW"
chicken_fat,CHICKEN,"CHICKEN,BROILERS OR FRYERS,FAT,RAW"
chicken_liver,CHICKEN,"CHICKEN,LIVER,ALL CLASSES,RAW"
coconut_oil,VEGETABLE OIL,"VEGETABLE OIL,COCONUT"
corn,CORN,"CORN,SWEET,YELLOW,RAW"
cranberry,CRANBERRIES,"CRANBERRIES,RAW"
duck,DUCK,"DUCK,DOMESTICATED,MEAT ONLY,RAW"
duck_liver,DUCK,"DUCK,DOMESTICATED,LIVER,RAW"
egg,EGG,"EGG,WHOLE,RAW,FRESH"
egg_whites,EGG,"EGG,WHITE,RAW,FRESH"
egg_yolks,EGG,"EGG,YOLK,RAW,FRSH"
fish_oil,FISH OIL,"FISH OIL,COD LIVER"
flaxseed,SEEDS,"SEEDS,FLAXSEED"
ginger,GINGER,"GINGER,GROUND"
green_beans,BEANS,"BEANS,SNAP,GREEN,RAW"
green_pea,PEAS,"PEAS,GREEN,RAW"
lamb,LAMB,"LAMB,VAR MEATS&BY-PRODUCTS,MECHANICALLY SEPARATED,RAW"
oat,No Category,OATS
pork,PORK,"PORK,FRSH,LOIN,WHL,LN,RAW"
pork_liver,PORK,"PORK,FRSH,VAR MEATS&BY-PRODUCTS,LIVER,RAW"
potato,POTATO,"POTATO,FLESH & SKN,RAW"
pumpkin,PUMPKIN,"PUMPKIN,RAW"
rice,RICE,"RICE,WHITE,MEDIUM-GRAIN,RAW,ENR"
salt,SALT,"SALT,TABLE"
spinach,SPINACH,"SPINACH,RAW"
sunflower_oil,OIL,"OIL,VEG,SUNFLOWER,LINOLEIC,(APPROX. 65%)"
turkey,TURKEY,"TURKEY,ALL CLASSES,MEAT ONLY,RAW"
turkey_liver,TURKEY,"TURKEY,LIVER,ALL CLASSES,RAW"
water,WATER,"WATER,BTLD,GENERIC"
wheat,WHEAT,"WHEAT,SOFT RED WINTER"
whey,WHEY,"WHEY,ACID,DRIED"
zucchini,SQUASH,"SQUASH,SMMR,ALL VAR,RAW"
